#domain,ioc,IPs,C2Domains
"mmsy.top","Possible Cobaltstrike DNS C2 Domain","52.253.108.7","v2ray1.mmsy.top v2ray2.mmsy.top"
"monolthicpower.com","Possible Cobaltstrike DNS C2 Domain","106.52.219.135","qq.monolthicpower.com"
"mqpslop.com","Possible Cobaltstrike DNS C2 Domain","35.72.79.151","nris-d.mqpslop.com"
"mwam.support","Possible Cobaltstrike DNS C2 Domain","18.184.17.94","contact.mwam.support"
"mylcyz.top","Possible Cobaltstrike DNS C2 Domain","23.94.77.121","ns1.mylcyz.top ns2.mylcyz.top"
"n0reply.eu.org","Possible Cobaltstrike DNS C2 Domain","167.86.127.180","ns.n0reply.eu.org"
"nadra-pk.org","Possible Cobaltstrike DNS C2 Domain","45.76.90.103","check.update.nadra-pk.org pak.update.nadra-pk.org verify.update.nadra-pk.org"
"nanyafpg.com","Possible Cobaltstrike DNS C2 Domain","52.195.16.11","ns88.nanyafpg.com"
"nightmare.su","Possible Cobaltstrike DNS C2 Domain","94.228.118.45","dns.nightmare.su"
"osslog.com","Possible Cobaltstrike DNS C2 Domain","167.179.74.154","a.osslog.com"
"outlookonlines.com","Possible Cobaltstrike DNS C2 Domain","172.105.192.139","iane.outlookonlines.com leno.outlookonlines.com rano.outlookonlines.com"
"qianxin.today","Possible Cobaltstrike DNS C2 Domain","116.204.98.225","www.qianxin.today"
"quicksmartmoney.com","Possible Cobaltstrike DNS C2 Domain","18.226.79.33","activity.quicksmartmoney.com"
"rememdam.xyz","Possible Cobaltstrike DNS C2 Domain","195.54.171.198 38.47.101.244","ns1.rememdam.xyz ns2.rememdam.xyz"
"ringatpstul.com","Possible Cobaltstrike DNS C2 Domain","5.188.183.171","dns.ringatpstul.com ringatpstul.com"
"runanywhere.myvnc.com","Possible Cobaltstrike DNS C2 Domain","64.176.40.46","runanywhere.myvnc.com"
"siegemachine.cn","Possible Cobaltstrike DNS C2 Domain","124.71.5.199","ns1.siegemachine.cn ns2.siegemachine.cn"
"simplence.cn","Possible Cobaltstrike DNS C2 Domain","47.103.20.98","ns1.simplence.cn ns2.simplence.cn ns3.simplence.cn"
"skytapdns.com","Possible Cobaltstrike DNS C2 Domain","20.94.177.31 23.98.137.196","vigorouseuclid.zscaler.skytapdns.com"
"smwanyi1.top","Possible Cobaltstrike DNS C2 Domain","121.37.215.155","dns.smwanyi1.top"
"sojuan.top","Possible Cobaltstrike DNS C2 Domain","155.94.182.212","ns1.sojuan.top ns2.sojuan.top"
"speech-microsoft.com","Possible Cobaltstrike DNS C2 Domain","206.237.30.76","log.speech-microsoft.com logs.speech-microsoft.com"
